county,state,year,fat_amount
Bossier Parish,LA,2000,150
Cass,MO,2000,150
Monroe,TN,2000,148
Tangipahoa Parish,LA,2000,146
Charlotte,FL,2000,146
Mcleod,MN,2000,146
Whitley,IN,2000,146
Newton,GA,2000,146
Beaufort,NC,2000,146
Platte,NE,2000,146
Warren,PA,2000,146
Rockwall,TX,2000,144
Lowndes,MS,2000,144
Green,WI,2000,144
Jefferson,AR,2000,144
Clay,FL,2000,144
Herkimer,NY,2000,144
Johnson,IA,2000,144
Klamath,OR,2000,144
Adams,NE,2000,144
Bradford,PA,2000,144
Sioux,IA,2000,144
Cascade,MT,2000,144
Carteret,NC,2000,144
Rockingham,VA,2000,144
Roanoke,VA,2000,142
Cherokee,SC,2000,142
Howard,IN,2000,142
Boone,IN,2000,142
Emmet,MI,2000,142
Muscatine,IA,2000,142
Bannock,ID,2000,140
Forrest,MS,2000,140
Sutter,CA,2000,140
Randall,TX,2000,140
Bonner,ID,2000,140
Osceola,FL,2000,140
Walla Walla,WA,2000,140
Kings,CA,2000,140
Jones,MS,2000,140
Hardin,KY,2000,140
Ogle,IL,2000,140
Pottawatomie,OK,2000,138
Victoria,TX,2000,138
La Plata,CO,2000,138
Cortland,NY,2000,138
Mckean,PA,2000,138
Santa Rosa,FL,2000,136
Jessamine,KY,2000,136
Franklin,VT,2000,136
Huron,MI,2000,136
Isanti,MN,2000,136
Kent,DE,2000,136
Mcpherson,KS,2000,136
Grant,WI,2000,136
Henry,GA,2000,136
Codington,SD,2000,134
Knox,OH,2000,134
Morgan,IN,2000,134
Nacogdoches,TX,2000,134
St. Mary Parish,LA,2000,134
Dodge,NE,2000,134
Mayes,OK,2000,134
Shawano,WI,2000,132
Kandiyohi,MN,2000,132
Laurens,SC,2000,132
Sarpy,NE,2000,132
Boone,AR,2000,132
Frederick,VA,2000,132
Door,WI,2000,130
Pettis,MO,2000,130
Madison,NY,2000,130
Lawrence,IN,2000,130
Washington,VA,2000,130
St. Clair,AL,2000,130
Mcminn,TN,2000,130
Adams,IN,2000,130
Antrim,MI,2000,130
San Juan,NM,2000,130
Marion,WV,2000,130
Allegany,MD,2000,130
Cecil,MD,2000,128
Wagoner,OK,2000,128
Mercer,OH,2000,128
Lee,IA,2000,128
Kershaw,SC,2000,128
Stephenson,IL,2000,128
Payne,OK,2000,128
Delta,MI,2000,128
Snyder,PA,2000,128
Chesterfield,SC,2000,128
Barry,MO,2000,128
Des Moines,IA,2000,128
Portsmouth City,VA,2000,126
Spalding,GA,2000,126
Christian,KY,2000,126
Charlevoix,MI,2000,126
