,State,County,year,avg(NO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_fiveyears
23,California,Fresno,2010,12.916266709677414,930450,6017.89,5897,3826,585,2012,1229,2597,633.7793540759847,411.1988822612715,62.87280348218604,216.23945402762104,132.08662475146434,279.1122575098071,154.61399261202843,14.901808022938399
24,Iowa,Scott,2010,6.9486863050000185,165224,468.2,1245,827,154,401,272,555,753.5224906793202,500.5326102745364,93.20679804386772,242.7008182830581,164.62499394761053,335.90761632692585,352.8919265271252,6.922785026785595
25,Virginia,Alexandria City,2010,13.690269637254898,139966,15.38,582,403,46,223,134,269,415.815269422574,287.92706800222913,32.865124387351216,159.3244073560722,95.73753625880572,192.1895317434234,9100.520156046814,15.613804815096982
26,California,Solano,2010,9.26397542797206,413344,906.85,2799,1820,298,772,750,1070,677.1599442595029,440.3112177750252,72.09491367964698,186.7693736935821,181.44693040179607,258.8642873732291,455.8019518112146,9.954105916065828
27,Maine,Cumberland,2010,9.79896604843307,281674,1217.01,2211,1349,230,545,574,775,784.9499776337185,478.9224422559413,81.654678813096,193.48608675277092,203.78167669007436,275.1407655658669,231.4475641120451,10.460118464885944
28,Oregon,Multnomah,2010,9.054466978082166,735334,465.7,5149,3082,428,1364,1290,1792,700.2260197406893,419.12926642858895,58.20484296931735,185.49393880875903,175.43048465051254,243.69878177807635,1578.986471977668,10.912453678589328
29,Pennsylvania,Berks,2010,7.352322029268302,411442,865.68,3517,2312,307,1185,820,1492,854.7984892159769,561.9261038007787,74.61562018461898,288.0114329601742,199.29905065598552,362.6270531447932,475.2818593475649,11.792576609690661
30,Connecticut,Fairfield,2010,8.431723079545419,916829,837.01,6332,4203,564,2066,1573,2630,690.6413300626398,458.42790749420016,61.516378735838416,225.34191217773437,171.56961658062735,286.8582909135728,1095.3620625798976,9.970011570652277
31,New York,Bronx,2010,20.115864936813196,1385108,57.42,8800,6269,880,3364,2025,4244,635.3295194309758,452.6000860582712,63.53295194309758,242.86914810975028,146.1979860054234,306.40210005284786,24122.39637756879,24.13460535152065
32,California,Riverside,2010,16.920116675090206,2189641,7303.81,13961,9644,1279,4960,3405,6239,637.5931031616599,440.43749637497655,58.411401686395166,226.52115118414383,155.50494350443748,284.93255287053904,299.79435390570126,19.757288218396543
33,California,Imperial,2010,13.87090537536654,174528,4482.08,771,554,67,303,184,370,441.7629262926293,317.4275760909424,38.38925559222589,173.61111111111111,105.42720938760544,212.000366703337,38.93906400599722,14.282745018312804
34,Louisiana,East Baton Rouge,2010,12.698542830028297,440171,470.59,3367,1989,236,1037,716,1273,764.9299931163116,451.8698414934197,53.6155266930352,235.59025924015896,162.66405556022548,289.20578593319414,935.3598674004973,14.423430831745188
